@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {32,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,241}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric

@data
114,18,4,23,3
114,19,3,22,2
114,20,4,23,2
114,20,3,23,3
114,19,3,23,2
114,19,3,22,2
114,20,4,21,2
114,18,3,23,3
114,19,2,23,1
114,19,3,23,3
114,19,4,23,2
114,20,3,22,2
114,20,2,22,2
114,20,4,22,1
114,20,3,22,2
114,20,3,23,2
116,18,4,21,3
116,18,3,21,3
116,19,3,21,2
116,19,4,21,2
116,19,4,21,2
116,19,4,22,2
116,19,3,22,3
116,18,4,21,1
116,20,3,22,3
116,20,3,22,3
116,19,4,22,2
116,18,3,21,1
116,18,3,21,3
116,19,4,21,2
116,18,2,22,2
116,18,3,21,2
116,19,3,22,2
116,19,3,22,2
116,20,3,21,3
116,19,3,22,2
116,19,3,22,1
116,19,3,22,1
116,20,3,23,1
116,19,3,21,2
116,20,3,21,1
116,20,3,21,2
116,18,3,22,1
116,18,3,21,2
116,19,4,23,2
116,19,4,21,2
116,19,4,20,2
116,20,4,21,3
116,19,4,22,2
116,19,3,22,1
116,20,4,21,3
116,19,4,22,2
116,19,4,22,2
116,19,4,21,2
116,20,3,22,2
116,18,3,21,2
116,20,3,21,3
116,20,3,22,1
116,20,4,22,2
116,20,3,22,2
116,20,3,22,2
116,19,4,21,1
116,20,3,22,2
116,19,3,21,3
116,19,3,21,1
116,19,4,22,2
116,19,4,22,3
116,20,3,22,1
116,20,4,22,2
116,19,4,22,2
116,19,3,22,2
116,19,3,22,1
116,20,3,21,1
116,19,3,22,2
116,19,3,22,1
116,19,3,21,2
116,19,4,22,2
116,19,3,23,1
116,20,3,22,2
116,20,3,22,2
116,19,4,21,2
116,20,4,21,1
116,20,4,22,2
116,20,3,22,1
116,20,4,23,3
116,20,4,23,1
116,20,4,22,1
116,20,4,21,3
116,20,3,21,2
116,19,4,22,1
116,20,3,22,1
116,19,3,21,1
116,19,4,22,2
116,19,3,22,2
116,20,4,21,1
116,19,3,21,1
116,20,3,21,1
116,20,3,22,2
116,20,3,21,1
116,19,4,22,1
116,20,3,22,2
116,21,3,22,2
116,19,3,22,2
116,20,3,21,2
116,20,4,22,2
116,20,4,21,1
116,19,3,23,1
116,20,3,22,2
116,20,3,22,2
116,21,4,22,1
116,21,4,22,3
116,20,4,22,2
116,20,4,23,3
116,20,4,22,1
116,19,4,22,2
116,20,4,22,2
116,19,3,21,1
116,20,3,22,1
116,20,4,22,2
116,20,4,22,1
116,20,4,22,3
116,20,3,21,2
116,21,3,21,2
116,19,3,22,1
116,19,3,22,2
116,20,4,22,2
116,20,4,22,2
121,19,4,22,2
121,20,4,21,2
121,20,3,21,1
121,20,3,21,1
121,19,3,22,2
121,21,3,22,1
121,19,4,21,1
121,20,4,22,1
121,20,3,20,1
121,20,3,22,1
121,20,3,21,2
121,19,3,20,1
121,20,3,22,1
121,19,3,22,1
121,21,3,20,1
121,20,3,20,1
121,19,4,22,2
121,20,3,20,1
121,19,3,21,1
121,18,3,21,2
121,20,4,20,2
121,20,3,22,1
121,21,3,19,1
121,21,3,21,1
121,19,3,21,1
121,18,3,20,1
121,19,3,21,1
121,20,3,21,1
121,19,3,20,1
121,20,2,21,1
121,21,4,22,1
121,20,3,20,1
121,19,2,20,2
121,19,3,21,1
121,20,3,21,1
121,20,4,22,1
121,21,3,20,1
121,19,4,21,1
121,19,4,20,1
121,21,3,22,2
121,20,3,22,2
121,20,4,21,2
121,19,4,21,1
121,20,3,22,1
121,20,3,20,1
121,20,3,20,1
121,20,4,22,1
121,20,4,20,1
121,19,4,22,2
121,19,3,21,1
121,19,4,22,1
121,19,4,21,1
121,21,3,20,2
121,20,3,21,1
121,21,4,21,1
121,21,4,21,1
121,19,4,22,1
121,18,4,20,1
121,20,4,21,1
121,19,4,21,1
121,19,4,21,1
117,19,3,20,1
117,18,4,21,1
117,19,3,21,1
117,19,4,20,1
117,19,3,20,1
117,18,3,21,1
117,19,4,21,1
117,18,4,21,1
117,20,3,20,1
117,20,3,21,1
117,20,3,22,0
117,19,3,20,1
117,17,3,22,1
117,18,3,21,2
117,18,3,22,1
117,18,2,22,2
117,19,3,22,1
117,18,3,21,1
117,18,3,21,1
117,18,3,21,1
117,19,3,21,1
117,18,3,21,1
117,18,2,20,2
117,19,4,21,1
117,19,3,23,1
117,18,3,22,0
117,18,4,20,1
117,19,3,22,2
117,18,3,22,0
117,19,2,22,1
117,18,3,23,1
117,18,3,21,1
117,18,2,20,1
117,19,3,20,1
117,19,3,20,1
117,20,2,20,1
117,19,3,21,1
117,19,3,21,2
117,19,4,23,1
117,20,3,21,1
117,19,2,21,1
117,18,3,20,1
117,18,2,21,2
117,19,3,20,2
117,19,2,22,1
117,20,2,20,1
117,19,3,21,1
117,19,3,21,0
117,20,2,20,2
117,20,3,22,1
117,19,3,22,1
117,18,3,21,1
117,21,3,21,1
117,18,3,20,1
117,20,4,20,1
117,18,3,21,0
117,19,3,20,1
117,19,3,20,1
117,20,3,20,1
117,21,4,21,0
117,18,3,21,0
117,20,3,21,0
117,20,4,21,1
117,19,3,22,0
117,19,3,21,1
117,18,3,20,0
117,19,3,22,1
117,20,4,21,2
117,20,3,21,0
117,19,3,21,0
105,19,3,19,0
105,17,3,23,1
105,18,3,20,1
105,18,2,22,1
105,19,2,21,2
105,18,3,19,1
105,17,3,19,1
105,18,3,20,0
105,19,3,21,2
105,18,3,19,1
105,19,3,21,1
105,18,3,20,1
105,19,2,21,2
105,18,3,20,2
105,17,3,20,1
105,18,3,20,2
105,18,3,21,2
105,18,3,20,1
105,15,3,19,1
105,14,3,20,1
105,17,3,20,1
105,20,3,20,2
105,18,3,20,1
105,18,3,20,1
105,19,2,21,1
105,18,3,19,1
105,18,3,21,1
105,19,3,21,1
105,18,3,20,2
105,18,3,21,1
105,16,3,18,1
105,16,3,20,2
105,18,3,20,1
105,19,3,21,2
105,18,3,22,1
105,18,3,21,1
105,16,3,20,1
105,18,2,21,2
105,18,2,20,2
105,19,3,20,1
105,19,3,19,1
105,17,3,20,2
105,19,4,21,2
105,17,3,20,1
105,17,3,?,?
105,16,2,21,2
105,18,2,21,2
105,18,2,21,1
105,17,3,21,2
105,18,2,21,2
105,18,4,?,?
105,18,2,20,2
105,18,2,20,1
105,19,2,21,2
105,18,2,20,2
105,16,3,20,2
105,19,4,22,2
105,19,2,21,2
105,16,2,16,1
105,18,2,18,2
105,18,2,22,2
105,17,2,20,2
105,18,2,22,2
105,17,2,22,2
105,18,3,21,2
105,15,3,23,1
111,17,3,?,?
111,18,3,22,1
111,16,3,?,?
111,17,3,21,1
111,19,3,20,1
111,15,2,?,?
111,18,3,22,1
111,19,4,?,?
111,17,3,20,1
111,17,3,?,?
111,17,2,21,1
111,?,?,?,?
111,?,?,?,?
111,16,3,?,?
111,17,4,22,1
111,17,3,19,0
111,16,3,?,?
111,19,3,?,?
111,16,3,?,?
111,17,2,22,1
111,18,4,?,?
111,18,3,?,?
111,17,4,?,?
111,18,3,?,?
111,18,4,?,?
111,17,3,?,?
111,20,4,?,?
111,16,4,?,?
111,18,3,?,?
111,18,3,21,1
111,17,2,?,?
111,15,3,?,?
111,13,3,?,?
111,18,3,?,?
111,18,3,?,?
111,16,3,?,?
111,13,2,?,?
111,17,2,20,1
111,17,3,22,2
111,16,3,?,?
111,16,3,21,1
111,14,2,?,?
111,17,4,?,?
111,17,3,21,1
111,18,3,?,?
111,17,3,21,1
111,16,3,?,?
111,18,2,?,?
111,16,2,?,?
111,17,2,?,?
111,16,3,?,?
111,17,3,?,?
111,14,3,?,?
112,15,3,?,?
112,14,4,?,?
112,17,4,?,?
112,17,3,?,?
112,14,4,?,?
112,17,3,?,?
112,17,3,?,?
112,17,3,?,?
112,16,3,?,?
112,14,3,?,?
112,15,3,?,?
112,14,4,?,?
112,14,2,?,?
112,17,3,?,?
112,15,3,?,?
112,14,3,?,?
112,17,3,?,?
112,17,2,?,?
112,16,5,?,?
112,15,4,?,?
112,19,3,?,?
112,14,3,?,?
112,17,4,?,?
112,15,3,21,1
112,15,3,20,2
112,16,3,19,1
112,16,2,20,1
112,15,2,?,?
112,17,3,20,1
112,16,3,20,2
112,16,3,21,2
112,14,3,20,1
112,15,3,18,1
112,13,3,20,1
112,15,4,22,1
112,16,3,20,1
112,13,2,20,2
112,14,4,20,2
112,16,3,19,1
112,15,3,21,1
112,15,3,21,2
112,13,3,19,1
112,14,3,20,2
112,15,3,21,1
112,13,3,21,1
112,13,3,20,2
112,15,2,20,1
112,13,3,21,1
112,15,4,19,2
112,14,4,19,1
112,17,3,20,0
112,17,4,21,1
112,16,2,20,1
112,14,2,20,1
112,15,3,20,2
112,15,3,20,1
112,16,3,20,2
112,15,3,18,2
112,14,3,22,2
112,16,3,22,2
112,15,3,19,1
112,16,3,21,2
112,15,3,20,1
112,15,3,20,2
112,14,3,20,1
112,14,2,20,1
112,16,4,22,1
112,15,3,22,1
112,16,3,20,1
112,17,2,20,1
112,12,3,21,1
112,15,3,21,1
112,15,3,20,1
112,16,4,20,2
112,17,4,19,1
112,14,3,19,0
112,14,2,19,1
112,16,4,20,1
112,17,2,20,1
112,16,3,19,1
112,14,4,21,1
112,13,4,21,1
