@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric

@data

0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,10,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.1326,52542,5838,937,4901,0,16.050017,83.949983,0,0.037779,0.03625,0.135809,97.681499,99.701069,28528.261496,29758.982441,-1230.720945,4.88665,5.097462,-0.210812,3165.623425,0.542245,11.096447,0.028571,3,0.003663,21,0.996337,5712,0.971429,102,0.125,0.028571,0.046512,0.051736,0.691902,0.060981,0.1605,0.125273,0.874727,0.8395,0.141184,0.1605,0.083923,0.052926,0.628394,0.091464,0.082357,0.1605,1447.959,0.03,1437.8125,0.015625,1437812.5,15.625,988935,4888879,545407,91.109969,50.958561,?,87,44
1_man-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,1,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.1335,27176,3020,532,2488,0,17.615894,82.384106,0,0.077368,0.035637,0.134767,95.662832,98.751024,14986.807113,13966.169335,1020.637778,4.962519,4.624559,0.33796,2574.378539,0.852443,17.177632,0.035088,2,0.002362,7,0.997638,2956,0.964912,55,0.222222,0.035088,0.060606,0.081698,0.730459,0.089386,0.176159,0.102907,0.897093,0.823841,0.173102,0.176159,0.120927,0.091981,0.670281,0.120604,0.122684,0.176159,528.461,0.015,525.28125,0.015625,525281.25,15.625,1626747,2529841,283333,89.768212,42.352292,?,143,72
1_man-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,2,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.1343,27176,3020,531,2489,0,17.582781,82.417219,0,0.08108,0.035475,0.134551,95.228212,98.591471,14991.842008,14200.309493,791.532515,4.964186,4.702089,0.262097,2829.165482,0.93681,18.871367,0.017544,1,0.003037,9,0.996963,2954,0.982456,56,0.1,0.017544,0.029851,0.034362,0.713656,0.059339,0.175828,0.099018,0.900982,0.824172,0.179496,0.175828,0.125331,0.094537,0.68647,0.125034,0.130837,0.175828,455.577,0.017,452.4375,0.015625,452437.5,15.625,1330620,2529841,283333,88.708609,38.063239,?,117,59
1_man-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,3,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.1351,27176,3020,548,2472,0,18.145695,81.854305,0,0.083799,0.035594,0.13446,95.546939,98.525423,14991.152845,13707.902109,1283.250735,4.963958,4.53904,0.424917,2638.860524,0.873795,17.602786,0.070175,4,0.0027,8,0.9973,2955,0.929825,53,0.333333,0.070175,0.115942,0.145955,0.74387,0.098567,0.181457,0.101678,0.898322,0.818543,0.182669,0.181457,0.124127,0.098199,0.676922,0.128148,0.123155,0.181457,515.199,0.016,512.1875,0.015625,512187.5,15.625,1512852,2529841,283333,90.596026,42.057525,?,133,67
1_man-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,4,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.14,27176,3020,511,2509,0,16.92053,83.07947,0,0.069978,0.035637,0.134468,95.661158,98.529462,14991.226792,13804.668534,1186.558258,4.963982,4.571082,0.3929,2633.962957,0.872173,17.570029,0,0,0.002362,7,0.997638,2956,1,57,0,0,0,-0.006685,0.721347,0.047529,0.169205,0.102992,0.897008,0.830795,0.168232,0.169205,0.112175,0.082958,0.67756,0.12055,0.122089,0.169205,519.551,0.015,516.640625,0.015625,516640.625,15.625,1467294,2529841,283333,89.966887,42.081548,?,129,65
1_man-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,5,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.1409,27176,3020,534,2486,0,17.682119,82.317881,0,0.080294,0.035692,0.134636,95.807934,98.649619,14995.825124,13718.324254,1277.50087,4.965505,4.542491,0.423014,2685.314692,0.889177,17.907082,0.035714,2,0.002362,7,0.997638,2957,0.964286,54,0.222222,0.035714,0.061538,0.082544,0.692687,0.046016,0.176821,0.100363,0.899637,0.823179,0.191077,0.176821,0.122776,0.097176,0.680898,0.122258,0.124645,0.176821,534.354,0.019,529.796875,0.015625,529796.875,15.625,1581189,2529841,283333,90.397351,40.92001,?,139,70
1_man-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,6,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.1418,27176,3020,501,2519,0,16.589404,83.410596,0,0.063274,0.035861,0.134679,96.263153,98.683108,14993.639283,13535.415921,1458.223362,4.964781,4.481926,0.482855,2489.668864,0.824394,16.604834,0.053571,3,0.002699,8,0.997301,2956,0.946429,53,0.272727,0.053571,0.089552,0.113922,0.711731,0.083982,0.165894,0.105992,0.894008,0.834106,0.162223,0.165894,0.106054,0.078376,0.681132,0.117872,0.104247,0.165894,539.105,0.016,532.734375,0.015625,532734.375,15.625,1125609,2529841,283333,91.854305,44.879236,?,99,50
1_man-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,7,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.1427,27177,3019,555,2464,0,18.383571,81.616429,0,0.090862,0.035453,0.1344,95.16823,98.480703,14982.847144,13652.023627,1330.823517,4.962851,4.522035,0.440816,2846.083584,0.942724,18.995612,0.053571,3,0.003037,9,0.996963,2954,0.946429,53,0.25,0.053571,0.088235,0.108364,0.677378,0.04791,0.183836,0.097186,0.902814,0.816164,0.17119,0.183836,0.127993,0.097921,0.686739,0.130237,0.138234,0.183836,522.385,0.017,518.375,0.015625,518375,15.625,1808979,2529934,283240,89.864193,39.594983,?,159,80
1_man-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,8,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.1435,27177,3019,539,2480,0,17.853594,82.146406,0,0.078689,0.035727,0.134475,95.901136,98.533362,14986.838056,13744.44417,1242.393886,4.964173,4.552648,0.411525,2520.333183,0.834824,16.816977,0.035088,2,0.003376,10,0.996624,2952,0.964912,55,0.166667,0.035088,0.057971,0.068595,0.708122,0.063397,0.178536,0.104004,0.895996,0.821464,0.186827,0.178536,0.120059,0.09507,0.673649,0.121259,0.128553,0.178536,523.705,0.016,519.3125,0.015625,519312.5,15.625,1239504,2529934,283240,91.619742,43.80687,?,109,55
1_man-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,9,weka.classifiers.trees.LMT,'-I -1 -M 1 -W 0.0',-1113212459618104943,20220608.1444,27177,3019,526,2493,0,17.422988,82.577012,0,0.072468,0.035708,0.134446,95.851763,98.510974,14987.710569,13609.663306,1378.047263,4.964462,4.508004,0.456458,2521.328478,0.835154,16.822639,0.035088,2,0.002363,7,0.997637,2955,0.964912,55,0.222222,0.035088,0.060606,0.081695,0.699681,0.089613,0.17423,0.105609,0.894391,0.82577,0.182142,0.17423,0.114665,0.090375,0.672737,0.12389,0.115206,0.17423,522.683,0.016,518.171875,0.015625,518171.875,15.625,1398957,2529934,283240,90.891024,43.373017,?,123,62
