@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric
@attribute pressed_key {8,13,39,43,44,45,46,48,49,50,51,52,53,54,55,56,57,60,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,161,180,186,231,241}

@data
22,2,30,3,307,171,2.32,117
24,2,29,2,305,171,2.27,105
27,3,31,3,305,173,3.02,110
27,3,30,4,306,173,2.66,116
25,2,30,4,307,173,2.04,97
24,3,30,2,303,172,2.79,110
25,3,28,3,310,165,3.03,97
23,3,28,3,316,173,3.22,46
31,2,31,4,326,171,2.58,50
24,2,29,3,308,171,1.34,121
22,3,26,4,298,171,2.36,111
26,3,31,3,298,168,0.34,108
27,3,30,3,299,166,2.36,101
22,3,24,3,302,159,1.36,112
24,4,23,3,304,159,2.01,114
25,3,24,4,304,160,2.66,101
24,3,30,3,304,170,1.68,103
25,4,30,4,303,168,0.67,117
25,2,29,3,302,169,1.67,110
26,1,28,3,305,166,1.34,116
23,4,24,5,307,162,1.68,111
23,3,23,4,305,161,2.01,112
23,3,23,4,306,163,2.65,111
22,3,25,4,307,162,1.68,114
21,4,23,4,306,164,2.35,101
21,3,21,4,306,165,2.66,108
25,3,27,4,305,170,3.22,110
26,3,25,3,306,171,2.85,111
28,3,32,4,317,173,3.82,109
23,3,26,3,327,173,3.84,8
25,3,25,3,328,172,4.45,98
29,3,30,4,323,170,3.82,108
25,3,29,5,322,167,3.57,101
28,4,27,3,308,164,1.91,103
23,4,26,5,293,161,0,97
26,3,27,3,296,165,1.32,114
28,3,27,3,295,166,0.66,99
22,2,25,4,292,164,0.33,105
?,?,34,7,302,163,2.61,97
25,4,26,5,308,161,2.94,110
24,3,33,6,310,155,2.96,8
26,3,31,5,313,156,3.5,8
23,3,27,3,311,169,5.08,108
29,3,33,4,318,167,6.03,97
27,3,25,3,318,168,4.77,110
26,3,29,3,306,168,1.34,44
25,3,30,3,309,165,1.68,112
26,2,31,3,311,165,1.01,111
24,2,29,3,313,163,2.07,114
25,3,30,3,299,161,0.34,116
27,3,30,3,293,158,0.34,119
27,3,31,3,286,158,-1.01,114
24,4,26,3,286,154,-0.34,8
23,4,30,5,289,154,-0.34,8
23,3,30,5,291,153,-0.68,101
23,3,30,5,290,153,0,114
23,3,30,5,290,153,0,101
21,3,23,3,287,153,0.35,115
20,3,21,4,285,153,-0.69,97
24,3,29,4,299,158,0,108
25,3,30,2,302,158,1.02,97
27,3,31,3,308,159,1.69,115
25,2,29,3,309,159,1.34,97
23,2,30,3,309,159,2.05,110
25,2,29,3,309,157,2.05,116
17,3,20,3,292,153,0.35,97
22,2,29,3,298,159,0.68,44
20,2,28,3,306,157,3.37,112
21,4,17,2,307,154,3.05,111
19,3,17,3,308,153,4.43,114
17,3,19,3,304,155,2.43,101
18,3,16,3,305,155,2.38,108
24,3,30,4,304,160,2.01,103
25,3,29,4,305,160,0.68,8
25,3,31,3,305,160,2.36,98
26,2,30,3,306,158,2.38,114
26,3,30,3,308,159,2.01,97
25,2,30,3,305,159,1.7,118
25,3,31,3,303,157,1.34,111
26,2,30,3,312,156,2.68,103
25,3,30,3,308,155,2.32,111
25,3,31,3,296,154,1.01,110
26,3,31,3,294,154,0.67,103
25,3,31,3,291,154,0.34,111
26,2,31,3,290,152,-0.33,114
?,?,20,1,287,150,0.34,97
24,2,29,3,287,157,0,121
24,2,30,3,286,155,0,101
25,2,31,3,283,155,-0.33,108
25,4,31,3,284,154,0,109
26,3,31,3,288,153,0,97
?,?,41,4,288,149,1.35,115
25,3,31,3,297,153,1.34,103
24,2,31,3,298,153,1.69,117
24,4,30,4,298,153,1.7,101
26,2,31,3,299,154,2.04,114
25,2,29,3,299,154,1.37,116
23,3,29,3,297,153,1.39,101
24,4,26,4,289,149,1.04,100
25,4,26,3,291,149,0.69,101
25,3,30,3,291,156,0.35,116
26,2,30,4,291,156,0.34,111
26,3,30,2,291,156,1.35,100
27,3,30,3,291,157,0.68,111
27,3,31,3,294,156,1.34,115
23,2,27,3,297,158,1.36,44
28,3,29,4,312,162,2.66,100
26,2,26,3,311,161,3,111
25,2,29,3,309,160,3.03,110
27,3,30,4,308,162,3.02,102
28,2,31,4,303,160,2.68,114
26,2,30,2,288,161,0.34,97
26,3,31,3,294,160,2,110
26,2,31,3,299,160,1.68,99
27,2,32,3,302,159,2.68,105
27,2,31,3,301,160,2.04,100
27,2,30,4,297,158,2.35,8
29,3,31,3,295,159,1.01,115
25,3,30,3,291,158,2,99
22,3,28,4,292,158,2.32,111
22,3,23,4,290,154,0.68,100
21,3,23,3,291,155,2.39,101
29,3,30,4,300,157,2.63,113
25,2,31,3,301,157,2.33,117
28,2,28,3,302,158,2.35,101
23,2,24,3,299,156,2.01,118
24,3,29,3,297,156,2.01,101
25,3,30,4,298,156,1.34,100
23,4,29,4,295,152,2.38,111
25,3,28,3,295,158,2.01,121
25,3,28,3,298,161,1.65,118
23,3,26,3,295,159,1.33,105
24,2,27,3,297,159,2,108
25,2,28,4,301,159,2.68,108
27,4,29,3,301,157,2,101
25,3,26,3,301,158,2.32,103
?,?,29,3,297,156,1.36,97
20,3,31,4,295,155,2.04,115
23,3,28,2,293,163,1,46
25,2,31,4,310,152,1.7,100
22,2,29,4,304,152,1.04,101
23,2,27,3,298,152,1.03,115
23,2,29,2,291,152,0.35,112
22,3,28,3,289,153,0.35,117
23,3,39,4,284,154,0.35,101
19,2,26,3,286,154,0.35,115
27,2,29,4,284,160,0.69,101
23,2,30,4,288,159,0.68,120
27,2,30,3,288,159,0.34,99
22,2,27,3,291,159,1.02,108
24,2,27,3,291,158,1,97
22,3,26,3,293,158,0.68,109
21,3,19,2,294,155,0.34,111
22,2,27,2,294,167,0.34,44
19,2,26,3,304,163,2.63,8
24,2,28,3,305,164,2.27,46
27,2,30,4,310,161,2.66,115
26,2,30,3,309,160,2,104
23,2,27,3,305,159,2.01,97
21,3,21,4,298,154,1.36,107
30,3,30,4,309,160,1.93,101
26,4,27,4,307,160,1.94,115
25,3,26,3,304,159,1.62,112
26,4,27,3,303,159,1.63,101
30,3,29,3,302,157,0.65,97
29,3,27,3,300,155,1.62,114
27,3,28,3,300,154,0,101
