@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric
@attribute pressed_key {8,13,32,39,43,44,45,46,48,49,50,51,52,53,54,55,56,57,60,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,161,180,186,231,241}

@data
17,3,24,3,302,186,0.71,100
18,4,26,3,299,186,-0.7,101
18,3,26,3,299,187,0.35,32
17,4,26,3,298,184,0,99
16,3,25,3,297,181,0.71,114
15,3,24,3,296,181,0.72,105
17,3,25,3,298,181,1.08,115
17,3,24,3,292,180,-0.35,116
14,3,24,3,293,180,0.37,97
11,4,15,3,287,177,-0.37,108
12,5,15,3,283,176,0,101
11,5,15,3,284,176,-0.36,115
12,5,13,3,286,176,0.37,44
12,5,14,3,291,179,-0.72,32
16,3,24,3,308,186,1.43,121
16,3,24,3,309,185,1.79,32
11,4,13,3,305,181,2.58,101
11,5,13,4,298,179,1.83,110
12,5,13,4,307,186,0.71,116
12,5,13,3,306,186,1.75,101
12,5,15,4,301,184,1.06,110
11,5,12,3,301,184,0.36,101
11,6,13,4,294,190,0.35,98
12,5,13,4,295,191,0,114
12,6,14,4,297,192,0,101
18,3,24,3,304,194,1.36,99
18,3,23,3,304,193,1.72,105
18,4,24,3,304,195,0,100
17,3,21,2,298,193,0.35,111
12,6,14,4,284,188,-1.06,32
18,4,23,3,300,190,-0.34,114
17,5,24,4,297,187,-0.71,101
17,5,22,3,296,185,-0.35,99
17,3,25,4,300,191,-0.34,111
18,4,26,3,307,187,1.38,114
17,3,25,4,307,186,0.7,114
16,5,20,3,306,182,1.46,101
16,4,23,3,305,181,1.43,32
16,5,21,3,306,182,0.72,108
16,5,24,4,304,182,0.36,97
16,4,21,3,303,180,0.72,32
16,4,22,3,300,181,0.36,97
17,3,24,3,300,183,0.35,110
18,3,23,3,300,183,1.04,116
17,3,25,3,301,183,0.35,101
16,3,26,3,296,183,0.36,115
16,3,25,3,294,183,-0.69,97
17,5,23,3,293,177,0.36,97
16,4,20,3,296,180,0,32
17,3,24,3,299,183,0,100
18,4,24,4,302,185,0.35,101
17,3,25,3,302,185,0.69,32
16,3,24,3,303,184,1.04,117
15,3,25,3,301,184,2.09,110
15,4,21,3,305,181,2.53,111
15,4,20,3,309,179,2.85,32
17,4,24,4,311,182,2.83,97
17,3,24,4,315,181,4.21,32
17,3,25,3,311,181,2.08,111
17,3,24,3,311,181,2.43,116
17,3,24,4,314,180,3.16,114
15,4,20,3,314,178,3.25,111
15,4,20,4,312,178,1.81,32
17,3,26,3,306,182,0.7,116
17,4,24,3,303,181,0.35,101
17,4,24,4,303,181,1.06,115
14,5,19,3,300,179,0.36,116
14,5,19,3,299,180,0.36,101
14,5,19,4,298,179,-0.35,114
14,4,17,3,303,179,1.08,111
18,4,25,3,295,187,-0.33,46
17,3,24,3,295,183,0.35,32
16,3,25,3,301,181,2.08,108
17,3,25,3,302,180,1.72,97
16,3,25,3,302,181,0.35,32
17,4,24,4,301,180,1.38,118
16,4,23,3,303,176,1.4,105
14,5,21,4,304,174,2.14,101
14,5,19,3,302,174,2.17,106
14,5,18,3,299,173,1.09,97
13,5,18,3,298,174,1.45,32
17,4,27,2,291,178,-0.69,44
