@relation 5_glasses-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric
@attribute pressed_key {8,13,32,39,44,45,46,48,49,50,51,52,53,54,55,56,57,60,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,161,180,231,241}

@data
17,2,22,1,384,278,1.6,32
15,3,17,3,380,276,3.15,104
15,4,18,3,376,274,3.15,97
16,4,18,4,377,276,2.76,32
19,2,19,2,370,282,0,104
14,3,17,2,366,276,3.2,101
17,2,20,1,374,279,0.81,99
16,2,22,2,375,278,1.21,104
19,2,24,1,377,279,1.21,111
19,2,23,1,380,279,-0.4,32
19,2,19,2,379,281,0.41,101
16,2,18,1,375,279,1.21,120
17,1,20,1,372,281,0.82,105
20,3,21,2,373,282,0.81,115
15,3,19,2,370,276,1.62,116
21,3,25,3,371,276,1.19,105
21,4,25,2,373,277,1.97,116
15,3,17,3,355,276,0.81,32
16,3,18,3,356,276,2.42,101
14,2,17,2,358,276,2.82,110
22,4,26,3,360,278,0.8,32
21,5,24,3,370,274,1.99,108
21,4,25,3,371,276,1.19,8
17,2,20,2,379,279,1.63,101
16,2,20,2,378,277,1.6,108
18,1,22,1,380,279,1.62,32
19,2,24,2,376,278,1.6,97
19,2,22,1,369,278,-0.4,114
16,2,19,2,365,274,-1.61,116
19,2,22,2,366,271,-0.39,101
20,3,22,3,371,270,-0.79,32
15,2,22,2,358,281,-0.4,8
17,2,21,2,365,279,-1.2,44
15,2,18,3,363,272,2.84,32
20,2,21,1,372,282,0.4,104
19,2,24,2,374,281,0.81,97
20,2,21,2,375,279,1.19,32
21,2,24,1,373,279,2,99
18,2,22,1,371,279,1.2,114
18,2,22,1,369,278,0,101
13,2,17,3,362,274,2.4,97
13,2,16,3,359,275,2.02,100
10,2,16,3,359,274,2.84,105
21,4,23,3,372,274,1.19,8
17,2,24,2,371,276,0.8,111
11,1,17,2,364,266,4.83,32
22,4,24,4,365,272,1.97,101
21,4,23,3,366,274,2.76,115
20,3,23,3,367,274,2.38,32
20,2,20,2,369,281,0.8,97
18,2,18,1,371,281,1.2,32
19,2,24,1,376,281,1.99,110
20,2,25,2,380,281,1.6,97
19,2,22,1,374,280,2,116
18,2,22,1,377,279,2.8,117
20,2,23,2,377,281,2,114
18,2,21,1,376,280,1.21,97
17,2,17,2,374,278,2,108
21,2,24,1,374,278,0,101
17,1,25,2,369,274,-0.8,122
15,2,18,3,363,273,1.59,97
12,3,17,3,358,272,1.63,32
18,2,19,2,373,281,1.21,121
19,3,25,2,382,275,0.41,32
?,?,?,?,388,278,2.05,101
19,1,26,1,384,279,2.02,115
21,1,26,2,382,281,2.42,101
18,1,21,1,380,279,1.64,32
15,1,22,1,377,280,1.24,104
17,2,20,2,375,279,1.21,111
17,2,22,1,376,279,-0.4,109
16,2,20,3,368,271,0,114
19,3,25,3,367,270,0.82,101
18,2,20,3,373,272,1.21,8
21,4,26,3,371,274,1.2,8
17,2,21,1,374,278,0,98
18,1,25,1,373,273,0.82,114
20,2,25,2,370,273,0.82,101
20,3,24,3,371,272,-0.4,110
15,2,22,2,370,273,1.62,8
18,1,14,1,380,267,2.84,32
20,2,25,2,377,285,1.18,101
18,2,25,2,376,283,-0.39,115
15,1,22,2,376,283,0.8,32
20,2,23,1,378,282,0.4,110
18,2,23,2,377,282,0.8,97
17,2,22,1,376,281,1.22,116
16,2,23,1,381,280,1.21,117
22,2,26,2,383,281,2.78,114
19,2,23,2,383,281,0.81,97
16,2,15,2,384,280,3.57,108
18,1,26,1,382,285,2.02,101
17,3,18,4,367,278,2.31,122
16,4,18,4,367,279,1.94,97
17,2,17,2,378,284,1.19,44
19,1,26,2,383,284,1.96,32
18,3,24,2,381,282,3.08,99
18,2,22,1,376,282,1.59,105
18,2,20,2,375,280,1.62,101
15,3,17,2,373,275,2.35,110
16,3,18,4,366,278,2.37,99
16,4,20,4,364,277,1.19,105
17,5,17,3,361,275,2.72,97
14,3,17,3,364,279,0,32
15,2,19,2,377,278,2.35,8
17,3,16,2,381,280,3.6,44
18,2,19,1,381,280,2.78,32
17,2,21,1,378,279,3.62,121
15,2,18,3,361,270,2.82,32
16,3,16,2,358,274,2,100
20,2,19,1,365,279,-0.39,101
18,2,17,1,365,278,-0.79,108
15,1,23,1,366,276,-1.18,32
15,2,23,1,366,276,-0.4,99
17,2,22,2,364,278,0.41,117
20,2,21,1,365,277,-0.8,97
20,2,23,1,368,277,0,108
14,3,17,3,362,271,2.4,32
21,2,22,2,379,278,-1.18,115
18,2,19,2,379,278,1.19,101
18,1,17,1,379,278,1.58,32
25,2,33,2,380,279,0.79,104
21,1,36,1,382,280,0.4,97
21,1,26,1,385,278,0.77,32
21,1,27,1,384,279,0.4,100
18,1,26,2,383,279,1.96,101
20,1,26,2,379,278,1.96,115
21,1,26,2,374,281,-0.39,116
20,2,24,1,374,281,-0.8,101
20,1,23,1,375,281,0,114
10,2,13,2,366,272,1.62,114
13,2,15,4,359,274,0.8,97
18,2,16,2,374,281,1.97,100
20,2,23,1,377,280,2,111
22,4,26,3,384,274,0.78,32
18,3,24,3,388,273,1.56,97
19,3,23,2,388,273,0.79,32
19,4,26,4,383,276,0.78,97
17,2,24,2,385,277,0.79,113
18,1,26,2,387,276,-0.39,117
18,2,25,2,393,272,-0.79,101
19,2,24,2,388,270,-0.39,108
18,2,24,2,385,273,-0.39,32
15,2,22,1,379,278,-1.18,109
16,2,23,1,376,276,-1.58,117
17,2,24,3,372,268,-1.17,110
19,4,26,4,373,268,-1.58,100
