@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric
@attribute pressed_key {8,13,39,43,44,45,46,48,49,50,51,52,53,54,55,56,57,60,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,161,180,186,231,241}

@data
14,1,17,2,321,215,0.93,101
11,2,19,2,326,216,0.93,97
14,2,18,2,324,218,2.31,100
13,2,19,3,321,219,0.92,111
12,2,20,2,322,217,1.85,101
11,2,19,3,326,217,0.47,115
15,1,20,2,330,216,0.93,97
11,2,16,1,316,214,1.86,110
16,1,25,2,317,214,0.93,97
15,1,18,3,321,215,1.85,116
12,2,15,1,319,216,1.85,117
11,3,20,3,319,215,0.93,114
13,1,19,2,327,217,0.93,97
13,2,16,2,323,217,1.85,108
14,2,19,2,317,218,0.93,101
11,2,20,2,327,218,0.93,122
13,2,19,2,334,218,1.4,97
14,2,16,2,324,214,1.83,121
14,1,17,2,322,218,1.4,101
12,2,19,2,330,218,0.93,115
14,2,19,2,331,214,0,101
10,3,17,1,319,215,1.86,110
12,2,16,2,313,214,1.4,111
11,2,20,2,315,215,2.33,109
14,1,19,2,321,217,2.79,98
10,2,16,2,331,215,0.47,114
15,2,18,1,337,217,2.35,101
9,3,19,2,325,218,0.93,104
11,2,17,3,322,215,2.27,111
11,1,19,2,319,217,1.85,109
13,2,19,3,323,218,1.39,98
10,2,16,1,332,215,1.41,114
10,2,18,2,336,217,2.35,101
11,2,14,2,316,215,1.39,46
13,1,18,2,322,219,0.9,121
12,1,20,1,330,221,-0.44,115
11,2,15,1,324,223,0.9,105
12,2,21,2,323,221,0,115
9,2,16,2,321,221,0.45,117
9,2,20,3,318,221,0.91,109
9,3,20,3,315,220,0,117
10,3,20,3,311,218,-0.45,110
14,2,19,2,319,221,0.46,100
13,2,16,1,323,222,1.35,111
11,3,16,2,317,225,0,110
8,2,16,1,310,222,0.9,111
11,1,21,2,319,225,0.45,101
13,1,19,2,322,222,-0.44,115
9,2,16,1,310,222,0.45,112
12,2,20,2,312,224,-0.9,101
15,2,20,2,319,223,0.45,114
12,1,21,1,315,221,0.46,102
12,1,19,2,322,224,0.46,101
11,2,20,2,325,224,1.35,99
10,1,16,2,325,224,1.78,116
15,2,20,3,314,220,0.89,97
11,2,16,1,319,224,1.36,109
13,2,17,2,322,223,0.9,101
10,2,20,2,323,224,0.92,110
11,2,17,2,320,222,0.46,116
10,3,19,2,333,220,1.36,101
10,3,20,2,316,222,0.46,97
11,1,19,2,322,221,0.46,114
13,2,19,1,316,218,0,116
10,2,21,2,308,219,0.46,105
15,1,19,2,313,219,0.91,115
13,2,19,2,320,218,0,116
13,2,18,2,319,220,1.35,105
11,2,17,2,311,222,0.9,99
10,2,15,2,320,222,1.8,111
11,2,21,2,302,221,0.46,44
10,2,20,2,304,221,1.81,108
14,1,22,1,308,220,1.36,97
14,2,17,2,315,221,1.36,102
10,2,19,1,322,220,1.37,97
11,1,20,2,318,223,0.46,108
14,2,19,3,317,219,0.9,116
17,2,21,2,321,220,1.37,97
10,1,20,2,329,224,2.27,110
13,2,18,2,311,218,1.78,111
13,2,19,1,324,223,1.33,101
16,1,20,2,327,222,1.35,115
14,1,18,2,325,219,0.9,100
